Country,Gender,Employment,Employment type,type,percentage
Uganda,F,Employment,Employed for cash,... for at least one specific reason,46.2
Uganda,F,Employment,Employed for kind,... for at least one specific reason,59.8
Uganda,F,Employment,Unemployed,... for at least one specific reason,46.8
